tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
1567885550694158336,2293315159,"From this day forward, the official portraits of former President Obama and former First Lady Obama will now display on the walls of the White House – the People’s House – forever. https://t.co/Ceb0wR4Ya2",retweeted,0,ObamaFoundation,0,0,10874,2022-09-08T14:40:19.000Z
1567719817481781250,2293315159,"When future generations see these portraits by Robert McCurdy and Sharon Sprung in the White House, I hope they get a better, honest sense of who Michelle and I were. And I hope they leave with a deeper understanding that if we could make it, they can do remarkable things, too. https://t.co/3Eo1WNr31b",retweeted,0,ObamaFoundation,0,0,7397,2022-09-08T03:41:45.000Z
1567719793788174336,2293315159,"Today, Barack and I went back to the White House to unveil our official portraits. It was so exciting to share Sharon Sprung and Robert McCurdy's incredible artistry with the world—and to be back in the place we called home for eight years. https://t.co/YF98lihqgy",retweeted,0,ObamaFoundation,0,0,11181,2022-09-08T03:41:40.000Z
1567609859587047426,2293315159,"Sharon Sprung is a brilliant artist who joins a small, but mighty group of women who have painted an official White House portrait. Learn more about her and the process that went into making our portraits: https://t.co/NVAN3G0WpV",retweeted,0,ObamaFoundation,0,0,2235,2022-09-07T20:24:49.000Z
1567609848182853633,2293315159,"I want to thank Robert McCurdy for his extraordinary work on my portrait. Robert is known for his paintings of public figures, and I love how he paints people exactly the way they are. Take a look at the process behind creating the official White House portraits: https://t.co/oZb6ov4uwr",retweeted,0,ObamaFoundation,0,0,4586,2022-09-07T20:24:47.000Z
1567581818731241474,2293315159,"A historic day. Today, President and Mrs. Obama unveiled their official White House portraits in a special ceremony at the White House. We sat down with Robert McCurdy and Sharon Sprung, the artists behind the portraits, to hear how it all came together. https://t.co/diUmvJmiCI",,1535,ObamaFoundation,24,40,365,2022-09-07T18:33:24.000Z
1567581090713403392,2293315159,“This day isn’t about me or Barack…it’s not even about these beautiful paintings. It’s about telling that fuller story—a story that includes every single American…so that our kids and grandkids can see something more for themselves.” —@MichelleObama,retweeted,0,ObamaFoundation,0,0,142,2022-09-07T18:30:30.000Z
1567578747364167680,2293315159,"""When future generations walk these halls and look up at these portraits, I hope they get a better, honest sense of who Michelle and I were. And I hope they leave with a deeper understanding that if we could make it here, maybe they can too."" —@BarackObama",retweeted,0,ObamaFoundation,0,0,193,2022-09-07T18:21:12.000Z
1567578677084397570,2293315159,Former Pres. Barack Obama: ‘I am little disappointed that I haven’t heard of anyone naming a kid Barack yet … but there is still time’ https://t.co/2Je9NgXhLO,retweeted,0,ObamaFoundation,0,0,141,2022-09-07T18:20:55.000Z
1567575197137485826,2293315159,Wow!!!! https://t.co/0SATl7mh2o,retweeted,0,ObamaFoundation,0,0,739,2022-09-07T18:07:05.000Z
1567570181425188869,2293315159,HAPPENING NOW: @BarackObama and @MichelleObama's official White House portraits unveiling with President Biden and First Lady Dr. Jill Biden. Follow along! https://t.co/mx8ZcrPLNq,,549,ObamaFoundation,7,11,95,2022-09-07T17:47:09.000Z
1567497011963854848,2293315159,"Today, in a longstanding American tradition, @BarackObama and @MichelleObama will return to the People’s House to unveil their official White House portraits.
 
Don't miss the live @WhiteHouse ceremony, starting at 1:30 PM ET. https://t.co/a9Q7ay4jow",,5468,ObamaFoundation,86,374,1384,2022-09-07T12:56:24.000Z
1566798528856395776,2293315159,"“This is a day that belongs to you—the working men and women of America.”
 
🇺🇸 Hear President @BarackObama’s inspiring 2013 #LaborDay message to the American people. https://t.co/D3BX3dDm3E",,811,ObamaFoundation,10,50,205,2022-09-05T14:40:53.000Z
1566797579853209601,2293315159,"Labor Day is about celebrating the working class men and women whose grit and resilience built our country and made our economic progress possible. They’ve raised their voices, advocated for better working conditions, and kept our country going.",retweeted,0,ObamaFoundation,0,0,9158,2022-09-05T14:37:07.000Z
1565044075492933632,2293315159,"Young leaders like our @ObamaFoundation Scholars give me hope for a brighter future. 

Our newest Scholars are working on issues like climate change, mass incarceration, and gender-based violence. I can't wait to see the difference they make together. https://t.co/ODOXPaaQiV",retweeted,0,ObamaFoundation,0,0,969,2022-08-31T18:29:19.000Z
1564664560195407872,2293315159,"Congrats to the newest class of @ObamaFoundation Scholars! 👏🏾

Every single one of you is already making a difference in your community—and now you'll receive the leadership training and support you need to create an even bigger impact. I'm excited to follow all of your journeys! https://t.co/dUUv74AePC",retweeted,0,ObamaFoundation,0,0,384,2022-08-30T17:21:15.000Z
1564615134877831173,2293315159,"📣 Announcing our newest #ObamaScholars from @UChicago and @Columbia!
 
These 30 rising leaders will work throughout the academic year to create sustainable solutions for their communities' most pressing issues.
 
Get to know how they're already making a difference:",,659,ObamaFoundation,41,56,165,2022-08-30T14:04:51.000Z
1563901896003391488,2293315159,"59 years ago, people from all over the country came together for the March on Washington to demand better jobs and equal rights for Black Americans. While the event was a milestone in Civil Rights Movement history, those ideals remain important today. https://t.co/5alEJzE5cC",,6812,ObamaFoundation,63,482,1310,2022-08-28T14:50:42.000Z
1563174096833511427,2293315159,"Providing healthy meals to Chicago’s youth—especially on the South and West Sides—is critical to us. As our inaugural meal service winds down for the summer, we spoke with Chef Lashon Burrell and some of the kids who benefited from our Local Lunchbox program. Take a look: https://t.co/Cd9tep5dhR",,331,ObamaFoundation,9,27,107,2022-08-26T14:38:41.000Z
1562521812399190018,2293315159,"@CWITEquityCNTR @HIRE360Chicago 52% of contracts for the construction of the Obama Presidential Center were awarded to diverse vendors, while 32% of our workforce comes from the South or West sides. Interested in joining our workforce? Join us at monthly We Can Build It info sessions to learn more. https://t.co/LBECvyqra1",retweeted,0,ObamaFoundation,0,0,42,2022-08-24T19:26:44.000Z
1561719295218008064,2293315159,Congratulations to Mr. Dad’s Father’s Club for receiving an inaugural My Brother’s Keeper Alliance #FreedomSummer2022 Fund grant. We are excited that you have answered the Alliance’s call to action to create safe spaces for boys and young men of color during the summer months. https://t.co/DHYcRIjiGM,retweeted,0,ObamaFoundation,0,0,38,2022-08-22T14:17:49.000Z
